Agilent Technologies	A	Alcoa Inc	AA
Champion Enterprises	CHB	Comstock Homebuildin	CHCI
City Hldg Co	CHCO	Church & Dwight Inc	CHD
Churchill Downs Inc	CHDN	Chindex Internationa	CHDX
Chemed Corp New	CHE	Cheviot Finl Corp	CHEV
Chemical Finl Corp	CHFC	Ch Energy Group Inc	CHG
Choice Hotels Intl I	CHH	Chesapeake Energy Co	CHK
Cherokee Inc Del New	CHKE	Champion Inds Inc W	CHMP
C&D Technologies Inc	CHP	Chordiant Software I	CHRD
Charming Shoppes Inc	CHRS	C H Robinson Worldwi	CHRW
Chicos Fas Inc	CHS	Catalyst Health Solutio	CHSI
Chelsea Therapeutics	CHTP	Chattem Inc	CHTT
O Charleys Inc	CHUX	Chyron Corp	CHYR
Cigna Corp	CI	Citizens Inc	CIA
Communication Intell	CICI	Cinedigm Digital Cinema	CIDM
Cobalt Intl Energy Inc	CIE	Ciena Corp	CIEN
Star Scientific Inc	CIGX	Chimera Invt Corp	CIM
Cincinnati Finl Corp	CINF	Circor Intl Inc	CIR
Comsys It Partners I	CITP	Cfs Bancorp Inc	CITZ
Compx International	CIX	Central Jersey Banco	CJBK
Carmike Cinemas Inc	CKEC	Seacor Hldgs Inc	CKH
Checkpoint Sys Inc	CKP	Cke Restaurants Inc	CKR
Ckx Inc	CKXE	Colgate Palmolive Co	CL
Clarcor Inc	CLC	Collectors Universe	CLCT
Cloud Peak Energy Inc	CLD	Clinical Data Inc Ne	CLDA
Celldex Therapeutics In	CLDX	Cliffs Natural Resource	CLF
Center Finl Corp Cal	CLFC	Clearfield Inc	CLFD
Clean Harbors Inc	CLH	Mack Cali Rlty Corp	CLI
Calamos Asset Mgmt I	CLMS	Calumet Specialty Pr	CLMT
Clean Energy Fuels Corp	CLNE	Colony Finl Inc	CLNY
Colonial Pptys Tr	CLP	Continental Resources I	CLR
Clearone Communicati	CLRO	Clarient Inc	CLRT
Celsion Corporation	CLSN	Town Sports Intl Hld	CLUB
Clearwater Paper Corp	CLW	Clearwire Corp New	CLWR
Clorox Co	CLX	Comerica Inc	CMA
Commercial Metals Co	CMC	Columbus Mckinnon Co	CMCO
Comcast Corp New	CMCSA	Cme Group Inc	CME
Chipotle Mexican Gri	CMG	Cummins Engine Inc	CMI
Cumulus Media Inc	CMLS	Cantel Inc	CMN
Capstead Mtg Corp	CMO	Compass Minerals Int	CMP
Casual Male Retail Grp	CMRG	Cms Energy Corp	CMS
Core Matls Corp	CMT	Comtech Telecommunic	CMTL
Cna Finl Corp	CNA	Colonial Bancgroup I	CNB.Z
Center Bancorp Inc	CNBC	Century Bancorp Inc	CNBK.A
Centene Corp Del	CNC	Cinemark Holdings Inc	CNK
Cleco Corp New	CNL	Conolog Corp	CNLG
Conmed Corp	CNMD	Conseco Inc	CNO
Centerpoint Energy I	CNP	Concur Technologies	CNQR
Cohen & Steers Inc	CNS	Consolidated Comm Hl	CNSL
Century Casinos Inc	CNTY	Continucare Corp	CNU
Convera Corp	CNVR	Con-Way Inc	CNW
Consol Energy Inc	CNX	Conexant Systems Inc	CNXT
Coachmen Inds Inc	COA	Cobra Electrs Corp	COBR
Cobiz Inc	COBZ	Corinthian Colleges	COCO
Capital One Finl Cor	COF	Cabot Oil & Gas Corp	COG
Cogent Inc	COGT	Coach Inc	COH
Cohen & Co Inc	COHN	Coherent Inc	COHR
Cohu Inc	COHU	Coca Cola Bottlng Co	COKE
Rockwell Collins Inc	COL	Columbia Bkg Sys Inc	COLB
Columbia Sportswear	COLM	3com Corp	COMS
Comverge Inc	COMV	Conns Inc	CONN
Cooper Cos Inc	COO	Majesco Hldgs Inc	COOL
Conocophillips	COP	Copytele Inc	COPY
Core Mark Holding Co	CORE	Corus Bankshares Inc	CORS
Corcept Therapeutics	CORT	Cortex Pharmaceutica	CORX
Cosi Inc	COSI	Costco Whsl Corp New	COST
Cover-All Technologi	COVR	Campbell Soup Co	CPB
Community Cap Corp S	CPBK	Caraco Pharmaceutica	CPD
Callon Pete Co Del	CPE	Cpex Pharmaceuticals In	CPEX
Central Pac Finl Cor	CPF	Cepheid Inc	CPHD
Cpi International In	CPII	Cumberland Pharmaceutic	CPIX
Chesapeake Utils Cor	CPK	California Pizza Kit	CPKI
Capella Education Co	CPLA	Capital Product Partner	CPLP
Calpine Corp	CPN	Copano Energy L L C	CPNO
Corn Prods Intl Inc	CPO	Copart Inc	CPRT
Catalyst Pharm Partn	CPRX	Computer Programs &	CPSI
Consumer Portfolio S	CPSS	Capstone Turbine Cor	CPST
Camden Ppty Tr	CPT	Conceptus Inc	CPTS
Cost Plus Inc Calif	CPWM	Compuware Corp	CPWR
Complete Production	CPX	Cpi Corp	CPY
Chiquita Brands Intl	CQB	Cheniere Energy Partner	CQP
Crane Co	CR	Celera Corp	CRA
Cra Intl Inc	CRAI	Cray Inc	CRAY
Citizens Bkg Corp Mi	CRBC	Chromcraft Revington	CRC
Crawford & Co	CRD.B	Cardica Inc	CRDC
Ceradyne Inc	CRDN	Care Investment Trust I	CRE
Credo Pete Corp	CRED	Cree Inc	CREE
Crescent Finl Corp	CRFN	Craftmade Intl Inc	CRFT
Carter Hldgs Inc	CRI	Curis Inc	CRIS
Comstock Res Inc	CRK	Charles Riv Labs Int	CRL
Salesforce Com Inc	CRM	Crm Holdings Ltd	CRMH
Americas Car Mart In	CRMT	Cornell Corrections	CRN
Crocs Inc	CROX	Carbo Ceramics Inc	CRR
Courier Corp	CRRC	Carpenter Technology	CRS
Cross Timbers Rty Tr	CRT	Cornerstone Therapeutic	CRTX
Cirrus Logic Corp	CRUS	Coast Distr Sys	CRV
Corvel Corp	CRVL	Crown Media Hldgs In	CRWN
Combinatorx Inc	CRXX	Cryolife Inc	CRY
